sensorID,x axe,y axe,z axe
0,30,5,3
1,11,1,1
2,11.2,1.2,1
3,11.2,1,1
4,11.5,3.8,2
5,39.5,3.8,2
6,39,3,1
7,9,9.7,1
8,38.2,3.6,1
9,9,8,1
10,4.2,1,2
11,31.8,3,2
12,29.8,2,1.8
13,11.8,7,1
14,6.2,7.5,1.5
15,18.1,2,1
16,19.6,3.8,1
17,18.4,6.2,2
18,42.2,3,1.5
19,46.9,3.8,2
20,46.3,3.8,1.5
21,47.1,2,3
22,49.6,2,3
23,37,7.5,3
24,39,8.5,3
25,37,6.2,2
26,39,6.2,1.5
27,39.8,9.7,1.5
28,50.3,6.2,2
29,53,6.2,1.8
30,52,9.8,1.8
31,54,9.8,1.8
32,55,7.5,3
33,51,6.2,2
34,55,6.2,2
35,36.3,6.2,1.5
36,46.6,6.2,2
37,49.1,6.2,2
38,47.1,6.2,2
39,50.1,3.8,2
40,50.1,0.2,2
41,48.1,0.2,2
42,46.3,9.5,1.5
43,32.6,6.2,1.5
44,35.9,6.5,1.5
45,35.9,9.5,1.5
46,32.3,9.5,1.5
47,35.1,6.2,2
48,55.5,2,4
49,57.5,2,4
50,53.5,2,4
51,55.5,3.8,2
52,52.2,3.8,2
53,52.5,3.8,2
54,57,3.8,2
55,57,0.2,2
56,53,0.2,2
57,55,3.8,2
58,49.9,9,2
59,9.5,0.2,2
60,6.2,2,2
61,7.6,3.8,1.5
62,4.2,8,2
63,11,1,1
64,36.2,9.7,1.5
65,10.5,0.2,1.5
66,47.6,8,3
67,49.1,10,3
68,4,9.8,2
69,3,8,1